"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"legitimacy-sudden-drop"
"06/30/2026 13:10:50:461 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"2","true","4","70","7","30","74","0","0","64","0.9"
"3","true","4","70","7","30","76","0","0","64","0.9"
"1","true","4","70","7","30","76","0","0","64","0.9"
"2","true","4","70","7","30","75","0","0","64","0.9"
"4","true","4","70","7","30","62","0","0","64","0.9"
"3","true","4","70","7","30","77","0","0","64","0.9"
"1","true","4","70","7","30","77","0","0","64","0.9"
"2","true","4","70","7","30","76","0","0","64","0.9"
"4","true","4","70","7","30","63","0","0","64","0.9"
"3","true","4","70","7","30","78","0","0","64","0.9"
"1","true","4","70","7","30","78","0","0","64","0.9"
"2","true","4","70","7","30","77","0","0","64","0.9"
"1","true","4","70","7","30","79","0","0","64","0.9"
"3","true","4","70","7","30","79","0","0","64","0.9"
"4","true","4","70","7","30","64","0","0","64","0.9"
"2","true","4","70","7","30","78","0","0","64","0.9"
"3","true","4","70","7","30","80","0","0","64","0.9"
"1","true","4","70","7","30","80","0","0","64","0.9"
"4","true","4","70","7","30","65","0","0","64","0.9"
"2","true","4","70","7","30","79","0","0","64","0.9"
"4","true","4","70","7","30","66","0","0","64","0.9"
"2","true","4","70","7","30","80","0","0","64","0.9"
"3","true","4","70","7","30","81","363","40","64","0.7"
"1","true","4","70","7","30","81","321","49","64","0.7"
"4","true","4","70","7","30","67","0","0","64","0.9"
"3","true","4","70","7","30","82","652","99","64","0.7"
"1","true","4","70","7","30","82","620","109","64","0.7"
"2","true","4","70","7","30","81","362","51","64","0.7"
"3","true","4","70","7","30","83","596","153","64","0.7"
"4","true","4","70","7","30","68","0","0","64","0.9"
"1","true","4","70","7","30","83","562","163","64","0.7"
"2","true","4","70","7","30","82","634","112","64","0.7"
"3","true","4","70","7","30","84","540","213","64","0.7"
"1","true","4","70","7","30","84","507","222","64","0.7"
"2","true","4","70","7","30","83","573","170","64","0.7"
"4","true","4","70","7","30","69","0","0","64","0.9"
"3","true","4","70","7","30","85","482","263","64","0.7"
"1","true","4","70","7","30","85","448","277","64","0.7"
"2","true","4","70","7","30","84","516","219","64","0.7"
"3","true","4","70","7","30","86","431","305","64","0.7"
"4","true","4","70","7","30","70","0","0","64","0.9"
"1","true","4","70","7","30","86","392","327","64","0.7"
"2","true","4","70","7","30","85","467","270","64","0.7"
"3","true","4","70","7","30","87","390","341","64","0.7"
"1","true","4","70","7","30","87","343","374","64","0.7"
"4","true","4","70","7","30","71","0","0","64","0.9"
"2","true","4","70","7","30","86","416","320","64","0.7"
"3","true","4","70","7","30","88","353","384","64","0.7"
"1","true","4","70","7","30","88","295","418","64","0.7"
"2","true","4","70","7","30","87","366","365","64","0.7"
"3","true","4","70","7","30","89","309","426","64","0.7"
"1","true","4","70","7","30","89","252","465","64","0.7"
"4","true","4","70","7","30","72","0","0","64","0.9"
"2","true","4","70","7","30","88","320","411","64","0.7"
"1","true","4","70","7","30","90","206","507","64","0.7"
"3","true","4","70","7","30","90","268","467","64","0.7"
"1","true","4","70","7","30","91","162","544","64","0.7"
"3","true","4","70","7","30","91","226","512","64","0.7"
"2","true","4","70","7","30","89","275","453","64","0.7"
"4","true","4","70","7","30","73","0","0","64","0.9"
"1","true","4","70","7","30","92","123","575","64","0.7"
"3","true","4","70","7","30","92","181","553","64","0.7"
"2","true","4","70","7","30","90","234","497","64","0.7"
"1","true","4","70","7","30","93","81","603","64","0.7"
"3","true","4","70","7","30","93","140","588","64","0.7"
"2","true","4","70","7","30","91","191","527","64","0.7"
"4","true","4","70","7","30","74","0","0","64","0.9"
"1","true","4","70","7","30","94","45","631","64","0.7"
"3","true","4","70","7","30","94","94","638","64","0.7"
