"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Rebellion.nlogox"
"tocqueville-legitimacy-erosion"
"06/30/2026 13:12:25:508 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","39","0","39"
"[run number]","movement?","initial-cop-density","initial-agent-density","vision","max-jail-term","[step]","count agents with [active?]","count agents with [jail-term > 0]","count cops","government-legitimacy"
"4","true","4","70","7","30","86","221","597","64","0.5411999999999999"
"1","true","4","70","7","30","89","262","588","64","0.5313599999999999"
"4","true","4","70","7","30","87","207","620","64","0.53792"
"2","true","4","70","7","30","87","3","446","64","0.53792"
"3","true","4","70","7","30","74","275","527","64","0.58056"
"1","true","4","70","7","30","90","257","594","64","0.52808"
"4","true","4","70","7","30","88","187","636","64","0.53464"
"2","true","4","70","7","30","88","1","423","64","0.53464"
"3","true","4","70","7","30","75","257","559","64","0.57728"
"1","true","4","70","7","30","91","252","596","64","0.5247999999999999"
"4","true","4","70","7","30","89","176","646","64","0.5313599999999999"
"2","true","4","70","7","30","89","0","405","64","0.5313599999999999"
"1","true","4","70","7","30","92","251","611","64","0.52152"
"4","true","4","70","7","30","90","169","664","64","0.52808"
"3","true","4","70","7","30","76","228","584","64","0.574"
"2","true","4","70","7","30","90","2","372","64","0.52808"
"1","true","4","70","7","30","93","234","626","64","0.51824"
"4","true","4","70","7","30","91","147","671","64","0.5247999999999999"
"3","true","4","70","7","30","77","202","601","64","0.57072"
"4","true","4","70","7","30","92","139","674","64","0.52152"
"1","true","4","70","7","30","94","222","642","64","0.51496"
"2","true","4","70","7","30","91","0","349","64","0.5247999999999999"
"3","true","4","70","7","30","78","191","624","64","0.5674399999999999"
"4","true","4","70","7","30","93","138","685","64","0.51824"
"1","true","4","70","7","30","95","207","652","64","0.5116799999999999"
"4","true","4","70","7","30","94","134","695","64","0.51496"
"2","true","4","70","7","30","92","13","324","64","0.52152"
"3","true","4","70","7","30","79","166","649","64","0.56416"
"1","true","4","70","7","30","96","198","677","64","0.5084"
"4","true","4","70","7","30","95","121","702","64","0.5116799999999999"
"1","true","4","70","7","30","97","173","705","64","0.50512"
"3","true","4","70","7","30","80","142","675","64","0.5608799999999999"
"4","true","4","70","7","30","96","112","724","64","0.5084"
"2","true","4","70","7","30","93","278","336","64","0.51824"
"1","true","4","70","7","30","98","144","711","64","0.5018400000000001"
"4","true","4","70","7","30","97","86","732","64","0.50512"
"3","true","4","70","7","30","81","115","702","64","0.5576"
"1","true","4","70","7","30","99","128","722","64","0.49855999999999995"
"4","true","4","70","7","30","98","66","736","64","0.5018400000000001"
