"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"C:\DevTools\NetLogo\models\Sample Models\Social Science\Ethnocentrism.nlogox"
"ethno-cost-gain-grid"
"06/24/2026 20:04:42:839 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","[step]","count turtles","cc-percent","cd-percent","dc-percent","dd-percent","last100consist-ethno-percent","last100coop-percent"
"51","0.06","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","1719","0.05859375","0.7727939848265896","0.0213263186416185","0.14728594653179192","0.8491631238119276","0.705064244642336"
"52","0.06","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","1821","0.0461730402285224","0.8296921044609289","0.012335015637525547","0.1117998396730233","0.8994423952623259","0.7342215161500892"
"53","0.06","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","1768","0.0663033247476427","0.7863910227868363","0.022431760667767586","0.12487389179775345","0.8709216001513146","0.7262349473551478"
"54","0.06","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","1764","0.05471562275017999","0.7499212562994961","0.029275782937365012","0.166087338012959","0.8256197507318198","0.7011419906280166"
"55","0.06","0.12","1","0.5","0.005","0.03","0.5","0.1","2000","1736","0.06762331326847916","0.7908310273015148","0.004667218212421191","0.1368784412175848","0.8813767756590735","0.7099136965702585"
"56","0.06","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","685","0.01967413250692586","0.11447621730760202","0.09959149175940274","0.7662581584260695","0.19759908846748597","0.11544722063970049"
"57","0.06","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","767","0.05759959737232465","0.14311824539097268","0.08288302606484425","0.7163991311718584","0.27217794662151934","0.17961211820897166"
"58","0.06","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","614","0.052772614622057","0.16074969021065674","0.049566294919454766","0.7369114002478314","0.29633042619713673","0.1909659371400362"
"59","0.06","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","671","0.02903867403314917","0.15812891344383057","0.07644935543278085","0.7363830570902394","0.24369582348305752","0.15553191489361703"
"60","0.06","0.12","1","0.5","0.005","0.06","0.5","0.1","2000","717","0.08175021799105164","0.18161156138770956","0.12531983932987406","0.6113183812913647","0.3223976356318596","0.23908039148708657"
